Speaker,Token,Pitch,Time,Sex,YOB,Tone
13,maw6,216,0.5,F,1970,5
13,maw6,220,0.75,F,1970,5
13,maw6,238,1,F,1970,5
14,ma1,225,0,F,1952,1
14,ma1,237,0.25,F,1952,1
14,ma1,245,0.5,F,1952,1
14,ma1,236,0.75,F,1952,1
14,ma1,235,1,F,1952,1
14,ma2,215,0,F,1952,6
14,ma2,206,0.25,F,1952,6
14,ma2,197,0.5,F,1952,6
14,ma2,195,0.75,F,1952,6
14,ma2,204,1,F,1952,6
14,maj3,240,0,F,1952,2
14,maj3,237,0.25,F,1952,2
14,maj3,232,0.5,F,1952,2
14,maj3,221,0.75,F,1952,2
14,maj3,198,1,F,1952,2
14,maj4,282,0,F,1952,3
14,maj4,293,0.25,F,1952,3
14,maj4,320,0.5,F,1952,3
14,maj4,318,0.75,F,1952,3
14,maj4,297,1,F,1952,3
14,maj5,222,0,F,1952,4
14,maj5,220,0.25,F,1952,4
14,maj5,244,0.5,F,1952,4
14,maj5,245,0.75,F,1952,4
14,maj5,227,1,F,1952,4
14,maw6,215,0,F,1952,5
14,maw6,222,0.25,F,1952,5
14,maw6,222,0.5,F,1952,5
14,maw6,236,0.75,F,1952,5
14,maw6,248,1,F,1952,5
15,ma1,221,0,F,1952,1
15,ma1,218,0.25,F,1952,1
15,ma1,220,0.5,F,1952,1
15,ma1,220,0.75,F,1952,1
15,ma1,215,1,F,1952,1
15,ma2,198,0,F,1952,6
15,ma2,185,0.25,F,1952,6
15,ma2,168,0.5,F,1952,6
15,ma2,168,0.75,F,1952,6
15,ma2,168,1,F,1952,6
15,maj3,221,0,F,1952,2
15,maj3,223,0.25,F,1952,2
15,maj3,215,0.5,F,1952,2
15,maj3,198,0.75,F,1952,2
15,maj3,182,1,F,1952,2
15,maj4,267,0,F,1952,3
15,maj4,295,0.25,F,1952,3
15,maj4,295,0.5,F,1952,3
15,maj4,263,0.75,F,1952,3
15,maj4,240,1,F,1952,3
15,maj5,197,0,F,1952,4
15,maj5,200,0.25,F,1952,4
15,maj5,220,0.5,F,1952,4
15,maj5,220,0.75,F,1952,4
15,maj5,196,1,F,1952,4
15,maw6,211,0,F,1952,5
15,maw6,209,0.25,F,1952,5
15,maw6,210,0.5,F,1952,5
15,maw6,215,0.75,F,1952,5
15,maw6,220,1,F,1952,5
16,ma1,216,0,F,1962,1
16,ma1,219,0.25,F,1962,1
16,ma1,222,0.5,F,1962,1
16,ma1,226,0.75,F,1962,1
16,ma1,228,1,F,1962,1
16,ma2,205,0,F,1962,6
16,ma2,200,0.25,F,1962,6
16,ma2,193,0.5,F,1962,6
16,ma2,186,0.75,F,1962,6
16,ma2,178,1,F,1962,6
16,maj3,210,0,F,1962,2
16,maj3,220,0.25,F,1962,2
16,maj3,222,0.5,F,1962,2
16,maj3,218,0.75,F,1962,2
16,maj3,200,1,F,1962,2
16,maj4,250,0,F,1962,3
16,maj4,272,0.25,F,1962,3
16,maj4,286,0.5,F,1962,3
16,maj4,294,0.75,F,1962,3
16,maj4,305,1,F,1962,3
16,maj5,200,0,F,1962,4
16,maj5,186,0.25,F,1962,4
16,maj5,196,0.5,F,1962,4
16,maj5,218,0.75,F,1962,4
16,maj5,216,1,F,1962,4
16,maw6,224,0,F,1962,5
16,maw6,216,0.25,F,1962,5
16,maw6,205,0.5,F,1962,5
16,maw6,209,0.75,F,1962,5
16,maw6,240,1,F,1962,5
17,ma1,222,0,F,1951,1
17,ma1,219,0.25,F,1951,1
17,ma1,220,0.5,F,1951,1
17,ma1,218,0.75,F,1951,1
17,ma1,222,1,F,1951,1
17,ma2,193,0,F,1951,6
17,ma2,177,0.25,F,1951,6
17,ma2,173,0.5,F,1951,6
17,ma2,174,0.75,F,1951,6
17,ma2,188,1,F,1951,6
17,maj3,211,0,F,1951,2
17,maj3,218,0.25,F,1951,2
17,maj3,210,0.5,F,1951,2
17,maj3,205,0.75,F,1951,2
17,maj3,183,1,F,1951,2
17,maj4,219,0,F,1951,3
17,maj4,228,0.25,F,1951,3
17,maj4,250,0.5,F,1951,3
17,maj4,256,0.75,F,1951,3
17,maj4,239,1,F,1951,3
17,maj5,179,0,F,1951,4
17,maj5,196,0.25,F,1951,4
17,maj5,212,0.5,F,1951,4
17,maj5,210,0.75,F,1951,4
17,maj5,198,1,F,1951,4
17,maw6,201,0,F,1951,5
17,maw6,192,0.25,F,1951,5
17,maw6,188,0.5,F,1951,5
17,maw6,195,0.75,F,1951,5
17,maw6,210,1,F,1951,5
18,ma1,142,0,F,1958,1
18,ma1,129,0.25,F,1958,1
18,ma1,126,0.5,F,1958,1
18,ma1,127,0.75,F,1958,1
18,ma1,118,1,F,1958,1
18,ma2,114,0,F,1958,6
18,ma2,107,0.25,F,1958,6
18,ma2,102,0.5,F,1958,6
18,ma2,99,0.75,F,1958,6
18,ma2,94,1,F,1958,6
18,maj3,123,0,F,1958,2
18,maj3,138,0.25,F,1958,2
18,maj3,126,0.5,F,1958,2
18,maj3,116,0.75,F,1958,2
18,maj3,104,1,F,1958,2
18,maj4,152,0,F,1958,3
18,maj4,172,0.25,F,1958,3
18,maj4,174,0.5,F,1958,3
18,maj4,159,0.75,F,1958,3
18,maj4,132,1,F,1958,3
18,maj5,121,0,F,1958,4
18,maj5,113,0.25,F,1958,4
18,maj5,120,0.5,F,1958,4
18,maj5,122,0.75,F,1958,4
18,maj5,103,1,F,1958,4
18,maw6,125,0,F,1958,5
18,maw6,119,0.25,F,1958,5
18,maw6,127,0.5,F,1958,5
18,maw6,139,0.75,F,1958,5
18,maw6,164,1,F,1958,5
19,ma1,217,0,F,1945,1
19,ma1,207,0.25,F,1945,1
19,ma1,197,0.5,F,1945,1
19,ma1,194,0.75,F,1945,1
19,ma1,177,1,F,1945,1
19,ma2,159,0,F,1945,6
19,ma2,147,0.25,F,1945,6
19,ma2,140,0.5,F,1945,6
19,ma2,136,0.75,F,1945,6
19,ma2,144,1,F,1945,6
19,maj3,184,0,F,1945,2
19,maj3,194,0.25,F,1945,2
19,maj3,183,0.5,F,1945,2
19,maj3,175,0.75,F,1945,2
19,maj3,150,1,F,1945,2
19,maj4,223,0,F,1945,3
19,maj4,233,0.25,F,1945,3
19,maj4,227,0.5,F,1945,3
19,maj4,212,0.75,F,1945,3
19,maj4,182,1,F,1945,3
19,maj5,169,0,F,1945,4
19,maj5,172,0.25,F,1945,4
19,maj5,182,0.5,F,1945,4
19,maj5,193,0.75,F,1945,4
19,maj5,183,1,F,1945,4
19,maw6,175,0,F,1945,5
19,maw6,184,0.25,F,1945,5
19,maw6,186,0.5,F,1945,5
19,maw6,193,0.75,F,1945,5
19,maw6,175,1,F,1945,5
20,ma1,232,0,F,1949,1
20,ma1,229,0.25,F,1949,1
20,ma1,225,0.5,F,1949,1
20,ma1,220,0.75,F,1949,1
20,ma1,219,1,F,1949,1
20,ma2,176,0,F,1949,6
20,ma2,159,0.25,F,1949,6
20,ma2,156,0.5,F,1949,6
20,ma2,153,0.75,F,1949,6
20,ma2,161,1,F,1949,6
20,maj3,221,0,F,1949,2
20,maj3,217,0.25,F,1949,2
20,maj3,210,0.5,F,1949,2
20,maj3,198,0.75,F,1949,2
20,maj3,168,1,F,1949,2
20,maj4,240,0,F,1949,3
20,maj4,279,0.25,F,1949,3
20,maj4,291,0.5,F,1949,3
20,maj4,242,0.75,F,1949,3
20,maj4,191,1,F,1949,3
20,maj5,166,0,F,1949,4
20,maj5,176,0.25,F,1949,4
20,maj5,199,0.5,F,1949,4
20,maj5,201,0.75,F,1949,4
20,maj5,192,1,F,1949,4
20,maw6,191,0,F,1949,5
20,maw6,187,0.25,F,1949,5
